app_name,app_version,app_store,app_category,security_score,security_avg_cvss,code_high,code_good,code_info,code_warning,manifest_high,manifest_medium,manifest_info,privacy_trackers_found,privacy_url,privacy_url_correct,privacy_prominantTracking,privacy_completeTracking,privacy_DPIA,privacy_cookies,privacy_privacyScore
"NHS Online: 111","Failed","Play","NHS Services",10,6,5,1,1,2,,,,6,,0,1,1,0,1,3
"NHS Online","1.2.0","NHS Apps Library","NHS Services",30,6.3,4,,1,1,9,1,,5,"http://assets.webgp.com/legal/applePrivacyPolicy",1,1,0,0,1,3
"nujjer","2.2.2","NHS Apps Library","Diabetes",60,5.8,2,,1,1,2,1,,3,"http://nujjer.com/nujjer-privacy-policy",1,1,0,0,1,3
"OneTouch","4.6","NHS Apps Library","Diabetes",10,5.9,8,,2,2,14,,,5,"https://onetouchreveal.com/mobile-privacy/",1,1,0,0,1,3
"Oviva","v342","NHS Apps Library","Diabetes",20,5.7,4,,2,2,4,1,,3,"https://oviva.com/uk/en/legal/#privacy",1,1,0,0,1,3
"OWise","1.1.0","NHS Apps Library","Cancer",10,6.2,7,,1,3,2,1,,4,"http://www.owise.uk/privacy",1,0,0,0,1,2
"Pando","7.6.0","NHS Apps Library","NHS Services",10,5.5,5,1,4,2,3,,1,6,"https://hellopando.com/privacy-policy/",1,1,1,1,1,5
"Patient Access","2.6.1","NHS Apps Library","NHS Services",0,5.9,5,1,3,3,6,,,3,"https://support.patientaccess.com/privacy-policy",1,0,0,0,1,2
"Peanut","4.0.2-b6084","NHS Apps Library","Body areas",45,6,3,,3,1,6,,1,7,"https://www.peanut-app.io/privacy",1,1,0,0,1,3
"Pharmacy2U","4.0.8","Play","Pharmacy",0,6.1,5,1,1,3,7,1,,3,"https://www.pharmacy2u.co.uk/privacy.html",1,1,0,0,1,3
"Pzizz","4.9.18","NHS Apps Library","Sleep",10,6.1,6,1,2,3,13,1,1,10,"http://pzizz.com/terms_privacy.html",1,0,0,0,1,2
"Rafi Tone","9.0.9","NHS Apps Library","Respiratory",50,5.8,2,,1,2,1,1,,0,"https://www.clin-e-cal.com/rafi-tone",0,0,0,0,1,1
"Second Nature","5.3.4","NHS Apps Library","Diabetes",10,5.7,6,,2,3,9,1,1,5,"https://www.secondnature.io/privacy",1,1,1,0,1,4
"SOS QR","2.0.0.95","NHS Apps Library","First Aid",40,5.8,3,1,1,2,6,1,,4,"http://www.humetrix.com/sosqr/privacy_summary.html",0,1,0,0,1,2
"Student Health App","1.7","NHS Apps Library","Mental Health",70,6.9,2,,1,,1,1,,0,"https://www.expertselfcare.com/the-small-print/privacy-policy/",1,1,1,0,1,4
"Sugarmedown","1.0.31","NHS Apps Library","Diabetes",10,6.3,9,,1,3,1,1,,5,"https://www.sugarmedown.com/privacypolicy",0,0,0,0,0,0
"SystmOne eObs","828","Play","Nursing",5,5.9,6,1,2,1,3,,1,2,"https://www.tpp-uk.com/legal/privacy-policy",1,0,0,0,1,2
"SystmOne eObs Training","828","Play","Nursing",5,5.9,6,1,2,1,3,,1,2,"https://www.tpp-uk.com/legal/privacy-policy",1,0,0,0,1,2
"SystmOnline","11","Play","PHR",30,5.7,4,,1,1,1,1,1,0,"https://systmonline.tpp-uk.com/privacy/privacy.html",1,1,1,0,1,4
"ThinkNinja","10.4","NHS Apps Library","COVID",75,5.7,1,,1,1,4,,,2,"http://www.healios.org.uk/privacy-policy/",1,1,0,0,1,3
"Thrive","3.2.6","NHS Apps Library","Mental Health",90,4.6,,,3,1,6,1,,2,"https://thrive.uk.com/privacy-policy",1,1,0,0,1,3
"Untire","3.3.0","NHS Apps Library","Cancer",10,6.3,7,1,1,2,8,2,,3,"https://www.untire.me/privacy",1,0,0,0,1,3
"WaitLess","2.1.1","NHS Apps Library","NHS Services",45,6.1,3,,1,1,9,1,1,3,"https://w.e-shrewd.com/Waitless/documents/privacy-policy.html?v=1.1",1,0,0,0,1,2
"WorryTree","2.1.02","NHS Apps Library","Mental Health",35,5.8,3,,3,2,4,,,3,"https://worry-tree.com/privacy-policy",1,1,0,0,1,3
"Yellowcard","21.1.0","NHS Apps Library","NHS Services",30,5.9,4,,1,1,4,,,3,"https://yellowcard.mhra.gov.uk/privacy-policy/",1,1,0,0,1,3
